etat;score;fiche;type;producteur;millesime;tarif retenu;prix;autre candidat;prix autre
sur;1.00;Château Soutard;rouge;Château Soutard.;2022;Chateau Soutard 2022 AOC St Emilion Grand Cru Rouge - Rouge - France;230.00;;
sur;0.89;Château-Thébaud 2022;blanc;Domaine de la Grenaudière / Vignoble Ollivier-Cottenceau.;2022;"Domaine De La Grenaudiere - Blanc - Muscadet ""Château Thebaud"" 75Cl";18.00;;
doute;0.69;Clisson 2019;blanc;Domaine de la Grenaudière / Vignoble Ollivier-Cottenceau.;2019;"Domaine De La Grenaudiere - Blanc - ""Clisson"" 75Cl";18.00;;
sur;0.79;Clos Fourtet;rouge;Clos Fourtet - Famille Cuvelier.;2021;Chateau Clos Fourtet 2021AOC St Emilion Grand Cru Rouge - Rouge - France;150.00;;
doute;0.47;Codorníu — Albariño Organic Wine;blanc;Codorníu — Raventós Codorníu.;;Codorniu Albarino Non Millesim D.O. Costers Del Segre - Blanc - Espagne;14.00;Codorniu Grenache Non Millesim;14.00
sur;1.00;Cuvée G Blanc;blanc;Vignobles Gueissard.;;"Domaine Gueissard - Blanc - Cotes De Provence ""Cuvée G"" 75Cl";16.00;"Domaine De La Grenaudiere - Blanc - ""La Cuvee Des Copains"" 75Cl";18.00
sur;0.89;CÔTE-RÔTIE PIERRE BLANCHE 2023;rouge;Domaine de Pierre Blanche - Xavier Mourier.;2023;Domaine De Pierre Blanche - Rouge - AOP Côte-Rôtie 75Cl;59.00;;
sur;0.83;DE BICKNELL - CHARDONNAY 2022;blanc;Le Clos des Grives.;2022;Jura Cotes Du Jura Blanc Chardonnay De Bicknell 2022;30.00;;
sur;0.77;DOMAINE DE NIZAS BLANC;blanc;François Lurton.;2024;"Le Domaine De Nizas - Blanc - AOP Languedoc ""Le Domaine De Nizas"" 75 Cl";21.00;;
sur;0.89;DRAINE - SAVAGNIN OUILLÉ 2023;blanc;Le Clos des Grives.;2023;"Jura Cotes Du Jura Blanc Savagnin Ouille 2023 ""Draine""";31.00;;
sur;0.82;Domaine Laffitte Gros & Petit Manseng;blanc;Domaine Laffitte — Les Frères Laffitte.;2025;"Domaine Lafﬁtte - Blanc - IGP Côtes De Gascogne ""Gros Et Petit Manseng"" 75Cl";12.00;;
sur;0.85;Domaine de Targuerie Sec 2024;blanc;;;"Domaine De Targuerie - Blanc - IGP Côtes De Gascogne ""Melody"" Demi-Sec 75Cl";12.00;;
aucun;0.00;Domäne Wachau — Grüner Veltliner;blanc;Domäne Wachau.;;;;;
sur;1.00;Ernst Gouws & Co — Chenin Blanc;blanc;Ernst Gouws & Co.;;"Ernst Gouws & Co - Blanc - ""Chenin Blanc"" Stellenbosch 75 Cl";19.00;;
doute;0.57;Fontanilles Blanc 2025;blanc;Le Cellier du Pic · IGP Pays d’Oc.;2025;"Le Cellier Du Pic - Blanc - ""Fontanille"" 75Cl";7.00;;
sur;1.00;GOOD MOOD BLANC;blanc;Cellier du Pic.;2025;Le Cellier du Pic - Good Mood Blanc IGP Pays d'Oc 2025;9.00;;
sur;1.00;Gran Lurton Cabernet Sauvignon Gran;rouge;Bodega Piedra Negra — François Lurton.;2018;"Bodega Piedra Negra - Rouge - ""Gran Lurton - Cabernet Sauvignon"" Los Chacayes 75Cl";23.00;Gran Lurton Tinto Cabernet-Sauvignon Eur 2018 Vin Argentin - Rouge - Argentine;23.00
sur;0.86;Hacienda Araucano — Clo de Lolol;rouge;Hacienda Araucano — Domaines François Lurton.;;"Hacienda Araucano - Rouge - ""Clo De Lolol"" Vallée De Lolol 75Cl";29.00;;
sur;0.83;Hermanos Lurton Verdejo 2024;blanc;Hermanos Lurton.;2024;Hermanos Lurton Verdejo BIO D.O. Rueda - Blanc - Espagne;16.00;;
aucun;0.00;Humo Blanco Cabernet Franc 2022;rouge;Hacienda Araucano / François Lurton.;;;;"Château Franc Baudron - Rouge - ""Ancestral"" Saint-Emilion 75 Cl";17.00
sur;0.85;Humo Blanco Edición Limitada Pinot Noir 2022;rouge;Hacienda Araucano / François Lurton.;;Humo Blanco Edicion Limitada Pinot Noir Demeter Eur 2022 Vin Du Chili - Rouge - Chili;19.00;;
