etat;score;fiche;type;producteur;millesime;tarif retenu;prix;autre candidat;prix autre
doute;0.86;Bodega Piedra Negra — Chacayes;rouge;Bodega Piedra Negra — Domaines François Lurton.;;"Bodega Piedra Negra - Rouge - ""Chacayes"" Los Chacayes Grand Cru 75 Cl";120.00;"Bodega Piedra Negra - Rouge - ""Gran Lurton - Cabernet Sauvignon"" Los Chacayes 75Cl";23.00
doute;0.59;Brouilly « Vieilles Vignes »;rouge;Famille Perrachon - Laurent Perrachon & Fils.;2025;"Domaine Perrachon & Fils - Rouge - Brouilly ""Famille Perachon"" 75 Cl";15.00;;
aucun;0.00;CEZ Red — Shiraz, Grenache & Cinsault;rouge;Ernst Gouws & Co.;;;;Mas D'En Janeil Red Eur 2017 AOC/AOP Ctes Roussillon Vil - Rouge - France;40.00
sur;0.97;CHAMBOLLE-MUSIGNY « LES CONDEMENNES »;rouge;Domaine du Château Philippe le Hardi.;2020;Chambolle-Musigny Condemennes 2020;115.00;;
sur;0.84;CHANT DE LUNE;rouge;Château d'Argens - Domaines d'Éxéa.;;Chant De Lune - Chateau Argens 2022 75 Cl;19.90;;
sur;1.00;CHÂTEAU D'ASSAS;rouge;Les Vignerons du Pic.;2023;Le Cellier du Pic - Château Assas Classique Rouge 2023;15.00;;
sur;0.89;CLOS DE VOUGEOT GRAND CRU 2019;rouge;Domaine du Château Philippe le Hardi.;2019;Clos De Vougeot Grand Cru 2019;200.00;;
doute;0.63;COTEAUX BOURGUIGNONS GAMAY 2024;rouge;Maison Philippe le Hardi.;2024;Coteaux Bourguignon Rouge 2024;15.00;;
sur;0.88;CROZES-HERMITAGE LA MUSELLE 2024;rouge;La Croix de Garde - Xavier Mourier.;2024;"La Croix De Garde - Rouge - AOP Crozes-Hermitage ""La Muselle"" 75Cl";27.00;;
aucun;0.00;Cambria — Julia’s Vineyard Pinot Noir;rouge;Cambria Estate Winery.;;;;Jackson Family Wines Cambria Pinot Noir 2021 Santa Maria Valley Cambria - Rouge - Californie;53.00
sur;0.84;Campo Eliseo — Contracorriente;rouge;Bodegas Campo Eliseo — François Lurton.;;Campo Eliseo Contracorriente Do Toro BIO D.O. Toro - Rouge - Espagne;25.00;;
sur;1.00;Canio — Aglianico del Vulture;rouge;Vigneti del Vulture.;;"Fantini Group Farnese - Rouge - ""Canio Aglianico"" Aglianico Del Vulture 75 Cl";18.00;;
doute;0.51;Ca’ Vittoria Appassimento Limited Edition;rouge;Puglia Rosso.;;Botter Ca Vittoria Appassimento 2025 I.G.T. Puglia - Rouge - Italie;15.00;;
sur;1.00;Château Desmirail — Margaux Grand Cru;rouge;Château Desmirail.;;Chateau Desmirail 20 Cb6 AOC Margaux Rouge - Rouge - France;48.00;;
sur;0.82;Château La Guillaumette;rouge;Château La Guillaumette - Famille Artigue.;2022;Château La Guillaumette - Rouge - AOC Bordeaux Merlot 2022 75Cl;13.50;;
sur;1.00;Château de Gardegan;rouge;Château de Gardegan / François-Thomas Bon.;2019;Château De Gardegan - Rouge - Castillon, Côtes De Bordeaux 2019 75Cl;17.00;;
aucun;0.00;Codorníu — Red Grenache Organic Wine;rouge;Codorníu — Raventós Codorníu.;;;;Mas D'En Janeil Red Eur 2017 AOC/AOP Ctes Roussillon Vil - Rouge - France;40.00
doute;0.72;Cortonesi La Mannella Rosso di Montalcino;rouge;;;Cortonesi Rosso Di Montalcino 2023 D.O.C Rosso Di Montalcino - Rouge - Italie;26.00;;
doute;0.61;DES BOIS - TROUSSEAU / PINOT NOIR 2024;rouge;Le Clos des Grives.;2024;"Jura Cotes Du Jura Rouge ""Des Bois"" 2024 Pulsar Trousseau";27.00;;
aucun;0.00;DES BOIS - TROUSSEAU / POULSARD 2023;rouge;Le Clos des Grives.;2023;;;"Jura Cotes Du Jura Rouge ""Des Bois"" 2024 Pulsar Trousseau";27.00
sur;1.00;Domaine Gueissard - Bandol Rouge;rouge;Vignobles Gueissard.;2021;Domaine Gueissard - Rouge - Bandol 2021 75 Cl;26.00;;
doute;0.66;Domaine de Targuerie Rouge 2024;rouge;;;"Domaine De Targuerie - Rouge - IGP Côtes De Gascogne ""Rouge"" 75Cl";14.00;;
aucun;0.00;Domenico Clerico — Barolo Ginestra “Ciabot;rouge;Domenico Clerico.;;;;Clerico Barolo 18 Mag D.O.C. Barolo - Rouge - Italie;180.00
aucun;0.00;Domenico Clerico — Barolo del Comune di;rouge;Domenico Clerico.;;;;Clerico Barolo 18 Mag D.O.C. Barolo - Rouge - Italie;180.00
sur;1.00;Domäne Wachau — Blauer Zweigelt;rouge;Domäne Wachau.;;DomäNe Wachau Blauer Zweigelt Terrassen 2022 Wachau - Rouge - Autriche;21.00;;
sur;1.00;Ernst Gouws & Co — Pinotage;rouge;Ernst Gouws & Co.;;"Ernst Gouws & Co - Rouge - ""Pinotage"" Stellenbosch 75 Cl";18.00;;
sur;0.88;FONT-JILLARDE 2022;rouge;Lou Gaëlou - Domaines Xavier Mourier.;2022;"Lou Gaëlou - Rouge - Châteauneuf-Du-Pape ""Font -Jillarde"" 75 Cl";39.00;;
sur;1.00;Fleurie « Vieilles Vignes »;rouge;Laurent Perrachon & Fils.;2024;"Domaine Perrachon & Fils - Rouge - Fleurie ""Vieilles Vignes""  75 Cl";15.00;;
doute;0.56;Fontanilles Rouge 2025;rouge;Le Cellier du Pic · IGP Pays d’Oc.;2025;"Le Cellier Du Pic - Rouge - ""Fontanille"" 75Cl";7.00;;
sur;0.88;Fugue de Nénin;rouge;Château Nénin — Domaines Delon.;;Fugue Nenin 2021 AOC Pomerol - Rouge - France;38.00;;
sur;0.79;GEVREY-CHAMBERTIN 1ER CRU « PETITE CHAPELLE » 2019;rouge;Domaine du Château Philippe le Hardi.;2019;Gevrey-Chambertin 1Er Cru Pte Chapelle 2019;120.00;;
sur;0.94;GEVREY-CHAMBERTIN « ES MUROTS » 2019;rouge;Domaine du Château Philippe le Hardi.;2019;Gevrey-Chambertin Es Murots 2019;78.00;;
aucun;0.00;GIGONDAS LES FÉTOULES 2020;rouge;Les Galets Pourpres - Domaines Xavier Mourier.;2020;;;Les Galets Pourpres « Gigondas »;29.00
sur;1.00;GOOD MOOD ROUGE;rouge;Cellier du Pic.;2025;Le Cellier du Pic - Good Mood Cinsault Rouge IGP Pays d'Oc 2025;9.00;;
doute;1.00;GRAND FIDÈLE;rouge;Domaine Grand Fidèle.;;"Domaine De Grand Fidéle - Rouge - Languedoc ""Esprit Terroir"" 75Cl";14.00;"Domaine De Grand Fidéle - Rouge - Languedoc ""Altitude"" Syrah 75Cl";9.00
sur;1.00;GRAND FIDÈLE ALTITUDE;rouge;Domaine Grand Fidèle.;;"Domaine De Grand Fidéle - Rouge - Languedoc ""Altitude"" Syrah 75Cl";9.00;;
sur;1.00;Gran Sasso Montepulciano d’Abruzzo DOC;rouge;Organic.;;"Fantini Group Farnese - Rouge - ""Gran Sasso"" Montepulciano D'Abruzzo 75 Cl";16.00;;
sur;0.89;HERMITAGE LES ROUIES 2022;rouge;La Croix de Garde - Xavier Mourier.;2022;"La Croix De Garde - Rouge - AOP Hermitage ""Les Rouies"" 75Cl";79.00;;
doute;0.87;Hermanos Lurton Tempranillo 2022;rouge;Hermanos Lurton.;2022;"Hermanos Lurton - Rouge - ""Tempranillo"" 75Cl";16.00;Hermanos Lurton Tempranillo D.O. Toro - Rouge - Espagne;16.00
sur;0.90;Il Palazzo Chianti DOCG 2022;rouge;Azienda Agricola Il Palazzo.;;"Il Palazzo - Rouge - ""Il Palazzo - Chianti"" 75 Cl";13.50;;
sur;1.00;Juliénas « Les Vignes Centenaires »;rouge;Laurent Perrachon & Fils.;2023;Domaine Perrachon & Fils -  Julienas 750 Ml 2023 Les Vignes Centenaires;20.00;;
doute;0.55;LATITUDE;rouge;Hommes & Terres du Sud.;2025;Le Cellier du Pic - Latitude Rouge 2025;12.00;;
doute;0.71;LE CLOS ROUGE;rouge;François Lurton.;2022;"Le Domaine De Nizas - Rouge - AOP Languedoc-Pézenas ""Le Clos Rouge"" 75 Cl";15.00;Chateau Clos Fourtet 2021AOC St Emilion Grand Cru Rouge - Rouge - France;150.00
doute;0.59;LES GALETS POURPRES - CÔTES DU RHÔNE;rouge;Domaines Xavier Mourier - Les Galets Pourpres.;;Les Galets Pourpres « Gigondas »;29.00;;
sur;1.00;Lavradores de Feitoria Douro Tinto 2022;rouge;Lavradores de Feitoria.;;Lavradores De Feitoria Tinto 2022 D.O.C. Douro - Rouge - Portugal;16.00;;
sur;1.00;Les Caselles Rouge;rouge;Le Cellier du Pic / Les Vignerons du Pic.;2024;Le Cellier du Pic - Les Caselles Rouge Terrasses Du Larzac;19.00;;
sur;0.90;Lupo Meraviglia Due di Due Puglia Rosso;rouge;;;"Botter Casa Vinicola - Rouge - ""Lupo Meraviglia Due Di Due"" Puglia 75 Cl";12.90;;
sur;0.88;MERCUREY « LES CHENEAULTS » 2022;rouge;Domaine du Château Philippe le Hardi.;2022;Mercurey Rouge Les Cheneaults 2022;32.00;;
doute;0.46;Mas Janeil 2009;rouge;JACQUES & FRANÇOIS LURTON.;;Mas Janeil Crv 10 AOC/AOP Ctes Roussillon Vil - Rouge - France;45.00;"Mas D'En Janeil - Rouge - ""Maury"" 75 Cl";20.00
sur;0.83;Mas Janeil 2017;rouge;MAS JANEIL / FRANÇOIS LURTON.;;Mas D'En Janeil Red Eur 2017 AOC/AOP Ctes Roussillon Vil - Rouge - France;40.00;Chateau Pontet Canet 2017 AOC Pauillac Rouge - Rouge - France;175.00
sur;0.88;Mas Janeil Arrels 2021;rouge;MAS JANEIL / FRANÇOIS LURTON.;;Mas D’En Janeil – Rouge- IGP Cote Catalane Arrels 2021;26.00;;
aucun;0.00;Maury Janeil 2022;moelleux;MAS JANEIL / FRANÇOIS LURTON.;;;;;
sur;1.00;Morgon « Corcelette »;rouge;Laurent Perrachon & Fils.;2024;"Domaine Perrachon & Fils - Rouge - Morgon ""Corcelette"" 75 Cl";15.00;;
sur;1.00;Moulin-à-Vent « Les Burdelines »;rouge;Laurent Perrachon & Fils.;2022;"Domaine Perrachon & Fils - Rouge - Moulin À Vent ""Les Burdelines"" 75 Cl";22.00;;
aucun;0.00;Oenops APLA Red 2023;rouge;Oenops Wines.;2023;;;Mas D'En Janeil Red Eur 2017 AOC/AOP Ctes Roussillon Vil - Rouge - France;40.00
sur;0.82;POMMARD 2022;rouge;Domaine du Château Philippe le Hardi.;2022;Pommard Tc 2022;72.00;;
sur;0.86;Pelissero Munfrina Dolcetto d’Alba 2021;rouge;Giorgio Pelissero.;;"Pelissero - Rouge - ""Munfrina Dolcetto D’Alba"" Dolcetto D’Alba 75 Cl";22.00;;
aucun;0.00;Pelissero — Piani Barbera d’Alba;rouge;Azienda Agricola Vitivinicola Pelissero.;;;;"Pelissero - Rouge - ""Munfrina Dolcetto D’Alba"" Dolcetto D’Alba 75 Cl";22.00
aucun;0.00;Pelissero — Tulin Barbera d’Alba;rouge;Azienda Agricola Vitivinicola Pelissero.;;;;"Pelissero - Rouge - ""Munfrina Dolcetto D’Alba"" Dolcetto D’Alba 75 Cl";22.00
sur;0.76;Persevero - Château La Grâce Fonrazade;rouge;Château La Grâce Fonrazade - François-Thomas Bon.;2020;"Château La Grace Fonrazase - Rouge - ""Persevero"" Saint-Emilion Grand Cru 75Cl";35.00;;
sur;0.92;Piedra Negra Alta Colección Malbec;rouge;Bodega Piedra Negra — François Lurton.;2025;"Bodega Piedra Negra - Rouge - ""Alta Coleccion Malbec"" Mendoza 75 Cl";18.00;;
doute;0.48;Posidone Organic Primitivo Puglia IGT 2024;rouge;Casa Vinicola Corvezzo.;;"Corvezzo -Rouge - ""Posidone Primitivo"" Puglia 75 Cl";12.50;;
aucun;0.00;Pradorey — Finca La Mina Reserva;rouge;Bodega y Viñedos Pradorey — Real Sitio de Ventosilla.;;;;Pradorey;50.00
sur;0.86;Rouquet’s Merlot 2025;rouge;Le Cellier du Pic · IGP Pays d’Oc.;2025;Rouquet'S - Rouge - Merlot IGP Pays D'Oc 2025;8.00;Château La Guillaumette - Rouge - AOC Bordeaux Merlot 2022 75Cl;13.50
sur;0.87;Rouquet’s Pinot Noir 2025;rouge;Le Cellier du Pic · IGP Pays d’Oc.;2025;Rouquet'S - Rouge -Pinot Noir IGP Pays D'Oc 2025;8.00;Rouquet'S - Rouge - Cabernet Sauvignon IGP Pays D'Oc 2025;8.00
doute;0.64;SABLET 2M 2023;rouge;Les Galets Pourpres - Domaines Xavier Mourier.;2023;"Sablet Côtes Du Rhône Vill. "" 2M "" 0.75 L 2023 AOP Crd";16.00;;
sur;0.91;SAINT-JOSEPH LES CABOLES 2023;rouge;Domaine de Pierre Blanche - Xavier Mourier.;2023;Domaine De Pierre Blanche - Rouge - AOP Saint Joseph « Les Caboles » 75Cl;29.00;;
sur;0.83;SYRAH BARRAL 2024;rouge;Domaines Xavier Mourier - Domaine de Pierre Blanche.;2024;"Domaine De Pierre Blanche - Rouge - IGP Syrah ""Barral"" 75Cl";13.50;IGP Coll Rhod Marsanne Barral 0.75 L;11.00
sur;0.75;Saint Clair Origin Pinot Noir 2022;rouge;Saint Clair Family Estate.;;Saint Clair Origin Pinot Noir 2022 Vin Nelle Zelande - Rouge - Nouvelle Zélande;24.00;;
sur;1.00;Saint Hubert Rouge;rouge;Le Cellier du Pic / Les Vignerons du Pic.;2024;"Le Cellier Du Pic - Rouge - Pic Saint-Loup ""Saint Hubert"" 75Cl";14.50;"Le Cellier Du Pic - Rouge - Pic Saint-Loup ""Saint Hubert"" Magnum 150Cl";33.00
aucun;0.00;Saint-Amour « Amoureux de Peynet »;rouge;Laurent Perrachon & Fils.;2024;;;;
aucun;0.00;Saragat Monica Isola dei Nuraghi IGT 2023;rouge;Atzei.;;;;;
doute;0.72;Shumi Saperavi 2023;rouge;Shumi Winery / Shumi Estate Cellars.;2023;Shumi Winery - Saperavi Rouge Vins Georgiens - Rouge - Georgie;21.00;;
doute;0.88;Tornatore Etna Rosso 2022;rouge;Azienda Agricola Francesco Tornatore.;;Tornatore - Rouge - Tornatore Etna Rosso 75Cl;26.00;Tornatore Etna Rosso;26.00
sur;0.89;VOSNE-ROMANÉE 2023;rouge;Domaine du Château Philippe le Hardi.;2023;Vosne Romanee Rouge 2023;105.00;;
doute;0.62;Vezzo Pinot Nero Trevenezie IGT 2024;rouge;Casa Vinicola Corvezzo.;;"Corvezzo - Rouge - ""Vezzo Pinot Nero"" Trevenezie 75 Cl";9.90;;
sur;0.89;Viña Eguía — Rioja Tempranillo;rouge;Bodegas Eguía S.L.;;Muriel Vina Eguia Tempranillo 2022 D.O.C. Rioja - Rouge - Espagne;13.00;;
sur;1.00;Viña Progreso Revolution Tannat 2021;rouge;Viña Progreso — Gabriel Pisano.;2021;Vina Progreso - Revolution Tannat 2021 Vin D'Uruguay - Rouge - Uruguay;18.00;;
aucun;0.00;Yalumba Samuel’s Collection Barossa Bush;rouge;Yalumba — famille Hill-Smith.;2020;;;Yalumb Samuel'S Co Gren 20 Vin Australie Negocianuk - Rouge - Australie;30.00
doute;0.55;À Grands Pas Carignan 2025;rouge;Le Cellier du Pic · Vin de France.;2025;A Grand Pas - Rouge - Carignan Noir 2025 75Cl;9.90;;
aucun;0.00;ACTO 1903 Special Reserve - 6 ans;spiritueux;Pardela Rum Collection / Pardela Spirits.;;;;Acto - Rhum - Rhum Panama Acto 1903;52.00
doute;1.00;Belle Gnôle;spiritueux;Belle Gnôle / Coquetelers.;;Belle Gnole Calvados 70 Cl - 46% AOC Calvados - Alcool - France - 46°;57.00;Belle Gnole Liqueur Framboise-Poivre 70 Cl - 22% - Liqueur - France - 22.00°;48.00
doute;0.53;Bistro Vodka - La Fine Vodka;spiritueux;Marque Bistro, distribuée par Pardela Spirits / Domaines François Lurton.;;Bistro Vodka 70Cl 40% Alcools >18% - Vodka - France - 40°;47.00;;
doute;0.63;Black Tears Dry Spiced;spiritueux;"Black Tears / The Island Rum Company ; distribution France : Pardela Spirits.";;Black Tears - Rhum - Spiced Rhum De Cuba;38.00;Island Rum - Black Tears Rum Super Dry 40% 70Cl;38.00
sur;1.00;Black Tears Super Dry;spiritueux;"Black Tears / The Island Rum Company ; distribution France : Pardela Spirits.";;Island Rum - Black Tears Rum Super Dry 40% 70Cl;38.00;;
aucun;0.00;Distilleria Marzadro;spiritueux;Distilleria Marzadro.;;;;;
aucun;0.00;François Lurton;rose;Bodega Piedra Negra / Domaines François Lurton.;;;;;
aucun;0.00;Gold of Mauritius Classic Edition;spiritueux;Litchquor Ltd, The Mount Pamplemousses, île Maurice.;;;;;
aucun;0.00;Guappo della Costiera;spiritueux;Lider S.r.l.;;;;;
aucun;0.00;La Progresiva de Vigía Mezcla 13;spiritueux;Bodega Vigía / The Island Rum Company.;;;;Island Rum Progresiva 41% 70Clrum De Cuba - Rum - Cuba - 41°;75.00
doute;0.53;Los Tres Toños;spiritueux;Tequila Selecto de Amatitán S.A. de C.V. / distillerie Santa Rosa.;;Los 3 Tonos Tequila Blanco 38% 70Cl Tequila Mexique - Alcool - Mexique - 38°;49.00;Los 3 Tonos Tequila Reposado 38% 70Cl Tequila Mexique - Alcool - Mexique - 38°;55.00
doute;0.89;Maison Boutelleau;spiritueux;Maison Boutelleau / Établissements Tiffon.;;Tiffon Cognac Boutelleau VSOP Cognac - Alcool - France - 40°;58.00;;
doute;0.80;Maison Cabanel;spiritueux;J. Cabanel & Cie / Maison Cabanel.;;"Cabanel - ""Menthe"" - Liqueur De Menthe Artisanale 70Cl";25.00;"Cabanel - ""Orange"" - Liqueur D'Orange Artisanale 70Cl";25.00
aucun;0.00;Marcati;spiritueux;Marcati.;;;;;
aucun;0.00;OAOA Lagoon Delight;spiritueux;OAOA.;;;;Spi Oaoa Spiced Rhum 35% 70 Clalcools >18% - Alcool - France - 35°;40.00
sur;0.77;Récapet;spiritueux;Domaine de Targuerie / Domaines François Lurton.;2015;Recapet Domaine De Targuerie Armagnac BIO 42,5% 50Cl Bas Armagnac - Alcool - France - 42.5°;58.00;Recapet Armagnac Baco 42% 70Cl Armagnac - Alcool - France - 42°;61.00
doute;0.67;Récapet;spiritueux;Domaines François Lurton / Récapet.;;Recapet Armagnac Colombard 42% 70Cl Bas Armagnac - Alcool - France - 42°;62.00;Recapet Domaine De Targuerie Armagnac BIO 42,5% 50Cl Bas Armagnac - Alcool - France - 42.5°;58.00
doute;1.00;Silvio Carta;spiritueux;Silvio Carta S.r.l.;;Silvio Carta - Aperitivo Aspide Spritz 12.5% 1L Alcool > 18% Italie - Alcool - Italie - 12.5°;29.00;;
sur;0.72;Sorgin Yellow Gin & Sauvignon;spiritueux;"Sabine et François Lurton / Sorgin ; distribution Pardela Spirits.";;Sorgin Yellow Eu/Fr C6 42.3% Gin - France;70.00;;
aucun;0.00;Sorgin — Gin de Terroirs / Gin & Sauvignon;spiritueux;Sabine Jaren et François Lurton — Sorgin Ltd / Pardela Spirits.;;;;;
aucun;0.00;Spike;spiritueux;The Bottler.;;;;;
doute;0.47;Sérum Ancon 10 Años;spiritueux;Marque Sérum.;;Serum Ancon 10Y 40% 70 Clrum Panama - Rum - Panama - 40°;65.00;;
aucun;0.00;Toschi Vignola;spiritueux;Toschi Vignola.;;;;;
doute;1.00;Two Stacks;spiritueux;Two Stacks Irish Whiskey.;;Two Stacks - Spi - Double Irish Cream Liqueur Irlande 70Cl;32.00;;
